,Equity (SPY),Long Treasuries (TLT),Short Treasuries (SHY),Gold (GLD),Oil (DBO)
2020-12-17,0.034810286,-0.022052636,0.0,-0.017810782,0.07275943
2020-12-18,0.014067207,-0.016511215,0.00011570183,-0.022467693,0.06665369
2020-12-21,0.02621234,-0.026011907,0.0,-0.018361844,0.0862107
2020-12-22,0.0076764612,-0.037194073,0.00034726562,-0.0108327465,0.10205843
2020-12-23,0.023287112,-0.02910186,0.00023173727,-0.008117103,0.107508734
2020-12-24,0.033445407,-0.03952008,0.000115801995,-0.02433688,0.12292254
2020-12-28,0.025677182,-0.048877437,0.00011568844,-0.022212908,0.15036611
2020-12-29,0.03888816,-0.050282493,0.00011568844,-0.047614288,0.15483412
2020-12-30,0.041390345,-0.060852043,0.00023173727,-0.045416567,0.15584587
2020-12-31,0.04351869,-0.057930063,0.00023176408,-0.03910408,0.17378376
2021-01-04,0.056559943,-0.055985276,-0.00011558827,-0.057858746,0.19813596
2021-01-05,0.049260616,-0.041898705,0.0,-0.057161566,0.14822184
2021-01-06,0.044913754,-0.026647162,0.0005787765,-0.049510196,0.13638122
2021-01-07,0.035093427,-0.030290492,0.00046318112,-0.050214697,0.1437777
2021-01-08,0.028545195,-0.04240198,0.0002308427,-0.029863399,0.12748243
2021-01-11,0.035538513,-0.03441702,0.0005787765,-0.039317816,0.13793659
2021-01-12,0.03106191,-0.037678305,0.0005787765,-0.045831002,0.10763073
2021-01-13,0.026605383,-0.06225812,0.00081090827,-0.03737435,0.10013508
2021-01-14,0.022391783,-0.060483247,0.00046318825,-0.021996887,0.121942565
2021-01-15,0.030924967,-0.06733045,0.00046273388,-0.011815037,0.16042435
2021-01-19,0.034062333,-0.077135116,-0.000116202726,-0.020962194,0.16738772
2021-01-20,-0.0040722406,-0.09458424,-0.0015067478,-0.056109156,0.16170608
2021-01-21,-0.010149097,-0.055017393,-0.00034734604,-0.079961896,0.13772988
2021-01-22,0.017347561,-0.07154434,-0.00044013903,-0.07378951,0.13587157
2021-01-25,0.0055773943,-0.08319009,-0.0003245625,-0.069218606,0.11705648
