,Equity (SPY),Long Treasuries (TLT),Short Treasuries (SHY),Gold (GLD),Oil (DBO)
2021-04-09,0.012293596,-0.0016664502,0.0006023153,0.056092795,0.093257606
2021-04-12,0.00938143,-0.003348407,0.00083441875,0.07374697,0.09852743
2021-04-13,-0.0022306654,-0.01337527,0.0006021453,0.068629764,0.07450271
2021-04-14,-0.0014348935,-0.012614531,0.00025497147,0.07366892,0.009747584
2021-04-15,-0.0014197108,-0.021015374,0.00048662178,0.062192257,-0.0134229455
2021-04-16,-0.005575445,-0.010017938,0.0003710675,0.056617163,0.017652739
2021-04-19,0.009492008,-0.0034435624,0.0007185443,0.061145775,0.04267076
2021-04-20,0.01461953,0.0011781572,0.00048662178,0.066627435,0.05359213
2021-04-21,0.007184376,-0.0025490741,0.00048690985,0.05502151,0.07855804
2021-04-22,0.016884478,-0.010934249,0.00060233654,0.061919782,0.07449789
2021-04-23,0.007887301,-0.010168611,0.00083483354,0.06952164,0.06465131
2021-04-26,0.004920863,-0.008964085,0.0008571628,0.06418631,0.08753971
2021-04-27,0.006707574,0.0021104063,0.0010894402,0.07158539,0.08291797
2021-04-28,0.003276847,-0.0022996587,0.0005098779,0.0488729,0.07568431
2021-04-29,0.006028673,0.0142618045,0.0006256417,0.06374108,0.06742253
2021-04-30,0.011650065,0.0088731,0.00039341804,0.071115404,0.08930705
2021-05-03,0.009709014,0.015275306,0.0007180607,0.05512368,0.08555091
2021-05-04,0.0144041525,0.017302355,0.00048620993,0.060561024,0.057444066
2021-05-05,0.018729312,0.021635711,0.0006027538,0.06071254,0.067385115
2021-05-06,0.012426282,0.018375313,0.00037123033,0.03285436,0.07238078
2021-05-07,0.0074112373,0.015630089,-0.00032415037,0.018019605,0.077056885
2021-05-10,0.01552672,0.024604136,-9.237823e-05,0.011208821,0.0838618
2021-05-11,0.018892786,0.02942905,-0.0009049169,-0.0060014674,0.07301305
2021-05-12,0.040035177,0.054853518,-0.0007889785,-0.02724081,0.04862941
2021-05-13,0.014512151,0.07193693,-0.0018327266,-0.03690243,0.08432211
2021-05-14,0.01348818,0.04574459,-0.0016004917,-0.033803746,0.0852975
2021-05-17,0.021367885,0.050301638,-0.001020341,-0.04957752,0.07567657
2021-05-18,0.028814603,0.050283965,-0.0018326145,-0.052183677,0.09375494
2021-05-19,0.037338175,0.054310128,-0.0013691293,-0.05347118,0.12889099
2021-05-20,0.030183483,0.035677172,-0.0019490136,-0.054721054,0.15646453
